"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 19 01:50:45 UTC 2024","Sun May 19 01:51:34 UTC 2024","48492","tests.integration","test_password_rotation","","","","test_empty_password","Test that the password can't be set to an empty string."
"passed","Sun May 19 01:40:23 UTC 2024","Sun May 19 01:40:24 UTC 2024","1049","tests.integration","test_charm","","","","test_settings_are_correct[2]",""
"passed","Sun May 19 01:27:24 UTC 2024","Sun May 19 01:45:25 UTC 2024","1081035","tests.integration.ha_tests","test_upgrade","","","","test_deploy_latest","Simple test to ensure that the PostgreSQL and application charms get deployed."
"broken","Sun May 19 02:11:34 UTC 2024","Sun May 19 02:28:16 UTC 2024","1002703","tests.integration.new_relations","test_new_relations","","","","test_nextcloud_db_blocked",""
"passed","Sun May 19 01:49:02 UTC 2024","Sun May 19 01:49:03 UTC 2024","876","tests.integration.new_relations","test_new_relations","","","","test_user_with_extra_roles","Test superuser actions and the request for more permissions."
"passed","Sun May 19 01:27:13 UTC 2024","Sun May 19 01:42:01 UTC 2024","887667","tests.integration.ha_tests","test_self_healing","","","","test_build_and_deploy","Build and deploy three unit of PostgreSQL."
"passed","Sun May 19 01:40:21 UTC 2024","Sun May 19 01:40:21 UTC 2024","93","tests.integration","test_charm","","","","test_exporter_is_up[0]",""
"passed","Sun May 19 01:43:42 UTC 2024","Sun May 19 01:49:00 UTC 2024","318173","tests.integration.new_relations","test_new_relations","","","","test_read_only_endpoint_in_scaled_up_cluster","Test that there is read-only endpoint in a scaled up cluster."
"broken","Sun May 19 02:00:25 UTC 2024","Sun May 19 02:01:26 UTC 2024","60699","tests.integration","test_backups","","","","test_restore_on_new_cluster","Test that is possible to restore a backup to another PostgreSQL cluster."
"passed","Sun May 19 01:27:30 UTC 2024","Sun May 19 01:41:55 UTC 2024","864171","tests.integration.ha_tests","test_replication","","","","test_build_and_deploy","Build and deploy three unit of PostgreSQL."
"passed","Sun May 19 01:52:19 UTC 2024","Sun May 19 01:52:52 UTC 2024","32600","tests.integration.new_relations","test_new_relations","","","","test_an_application_can_connect_to_multiple_aliased_database_clusters","Test that an application can connect to different clusters of the same database."
"passed","Sun May 19 01:43:13 UTC 2024","Sun May 19 01:43:42 UTC 2024","28714","tests.integration.new_relations","test_new_relations","","","","test_no_read_only_endpoint_in_standalone_cluster","Test that there is no read-only endpoint in a standalone cluster."
"passed","Sun May 19 01:40:21 UTC 2024","Sun May 19 01:40:21 UTC 2024","51","tests.integration","test_charm","","","","test_exporter_is_up[2]",""
"failed","Sun May 19 01:56:47 UTC 2024","Sun May 19 01:58:04 UTC 2024","77203","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-postgres]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Sun May 19 01:54:55 UTC 2024","Sun May 19 01:55:21 UTC 2024","25501","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGTERM-postgres]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"broken","Sun May 19 01:45:28 UTC 2024","Sun May 19 01:56:40 UTC 2024","672320","tests.integration.ha_tests","test_upgrade","","","","test_upgrade_from_edge",""
"passed","Sun May 19 01:49:05 UTC 2024","Sun May 19 02:09:24 UTC 2024","1218743","tests.integration.ha_tests","test_restore_cluster","","","","test_cluster_restore","Recreates the cluster from storage volumes."
"passed","Sun May 19 01:43:07 UTC 2024","Sun May 19 01:49:02 UTC 2024","355253","tests.integration","test_subordinates","","","","test_scale_up",""
"passed","Sun May 19 01:49:00 UTC 2024","Sun May 19 01:49:02 UTC 2024","1977","tests.integration.new_relations","test_new_relations","","","","test_database_relation_with_charm_libraries","Test basic functionality of database relation interface."
"passed","Sun May 19 01:49:03 UTC 2024","Sun May 19 01:51:49 UTC 2024","166019","tests.integration.new_relations","test_new_relations","","","","test_two_applications_doesnt_share_the_same_relation_data","Test that two different application connect to the database with different credentials."
"passed","Sun May 19 01:40:22 UTC 2024","Sun May 19 01:40:23 UTC 2024","1047","tests.integration","test_charm","","","","test_settings_are_correct[1]",""
"passed","Sun May 19 01:28:31 UTC 2024","Sun May 19 01:41:54 UTC 2024","802967","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_deploy_stable","Simple test to ensure that the PostgreSQL and application charms get deployed."
"passed","Sun May 19 01:27:31 UTC 2024","Sun May 19 01:40:36 UTC 2024","785314","tests.integration","test_config","","","","test_config_parameters","Build and deploy one unit of PostgreSQL and then test config with wrong parameters."
"passed","Sun May 19 01:40:20 UTC 2024","Sun May 19 01:40:21 UTC 2024","31","tests.integration","test_charm","","","","test_database_is_up[0]",""
"passed","Sun May 19 01:40:24 UTC 2024","Sun May 19 01:42:18 UTC 2024","114531","tests.integration","test_charm","","","","test_postgresql_parameters_change","Test that's possible to change PostgreSQL parameters."
"passed","Sun May 19 02:01:26 UTC 2024","Sun May 19 02:10:54 UTC 2024","568094","tests.integration","test_backups","","","","test_invalid_config_and_recovery_after_fixing_it","Test that the charm can handle invalid and valid backup configurations."
"passed","Sun May 19 01:48:18 UTC 2024","Sun May 19 01:48:53 UTC 2024","34550","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[postgres]",""
"passed","Sun May 19 01:29:50 UTC 2024","Sun May 19 01:43:13 UTC 2024","802419","tests.integration.new_relations","test_new_relations","","","","test_deploy_charms","Deploy both charms (application and database) to use in the tests."
"passed","Sun May 19 01:51:50 UTC 2024","Sun May 19 01:53:29 UTC 2024","98960","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]",""
"passed","Sun May 19 01:45:26 UTC 2024","Sun May 19 01:45:28 UTC 2024","2109","tests.integration.ha_tests","test_upgrade","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"passed","Sun May 19 01:27:16 UTC 2024","Sun May 19 01:27:38 UTC 2024","22617","tests.integration","test_tls","","","","test_deploy_active","Build the charm and deploy it."
"passed","Sun May 19 01:40:21 UTC 2024","Sun May 19 01:40:21 UTC 2024","53","tests.integration","test_charm","","","","test_exporter_is_up[1]",""
"skipped","Sun May 19 02:05:05 UTC 2024","Sun May 19 02:05:05 UTC 2024","0","tests.integration","test_db","","","","test_canonical_livepatch_onprem_bundle_db",""
"skipped","Sun May 19 01:48:24 UTC 2024","Sun May 19 01:48:24 UTC 2024","0","tests.integration","test_tls","","","","test_restart_machine",""
"passed","Sun May 19 01:52:52 UTC 2024","Sun May 19 01:53:19 UTC 2024","27352","tests.integration.new_relations","test_new_relations","","","","test_an_application_can_request_multiple_databases","Test that an application can request additional databases using the same interface."
"passed","Sun May 19 01:49:02 UTC 2024","Sun May 19 01:50:38 UTC 2024","96022","tests.integration","test_subordinates","","","","test_scale_down",""
"passed","Sun May 19 01:27:38 UTC 2024","Sun May 19 01:48:24 UTC 2024","1245467","tests.integration","test_tls","","","","test_tls_enabled","Test that TLS is enabled when relating to the TLS Certificates Operator."
"passed","Sun May 19 01:48:54 UTC 2024","Sun May 19 01:49:59 UTC 2024","64712","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]",""
"passed","Sun May 19 02:02:50 UTC 2024","Sun May 19 02:05:56 UTC 2024","186439","tests.integration.ha_tests","test_self_healing","","","","test_forceful_restart_without_data_and_transaction_logs","A forceful restart with deleted data and without transaction logs (forced clone)."
"passed","Sun May 19 02:01:54 UTC 2024","Sun May 19 02:02:29 UTC 2024","35595","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Sun May 19 02:03:19 UTC 2024","Sun May 19 02:05:05 UTC 2024","106605","tests.integration","test_db","","","","test_roles_blocking",""
"passed","Sun May 19 01:53:19 UTC 2024","Sun May 19 02:04:52 UTC 2024","692737","tests.integration.new_relations","test_new_relations","","","","test_relation_data_is_updated_correctly_when_scaling","Test that relation data, like connection data, is updated correctly when scaling."
"passed","Sun May 19 02:04:52 UTC 2024","Sun May 19 02:05:47 UTC 2024","54806","tests.integration.new_relations","test_new_relations","","","","test_relation_with_no_database_name","Test that a relation with no database name doesn't block the charm."
"passed","Sun May 19 02:02:31 UTC 2024","Sun May 19 02:08:21 UTC 2024","350333","tests.integration","test_charm","","","","test_persist_data_through_primary_deletion","Test data persists through a primary deletion."
"passed","Sun May 19 01:27:26 UTC 2024","Sun May 19 01:40:20 UTC 2024","774417","tests.integration","test_charm","","","","test_deploy","Deploy the charm-under-test.

    Assert on the unit status before any relations/configurations take place.
    "
"passed","Sun May 19 01:41:56 UTC 2024","Sun May 19 01:48:57 UTC 2024","420664","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_upgrade_from_stable","Test updating from stable channel."
"skipped","Sun May 19 01:56:46 UTC 2024","Sun May 19 01:56:46 UTC 2024","0","tests.integration.ha_tests","test_upgrade","","","","test_fail_and_rollback",""
"passed","Sun May 19 01:40:21 UTC 2024","Sun May 19 01:40:21 UTC 2024","5","tests.integration","test_charm","","","","test_database_is_up[1]",""
"passed","Sun May 19 01:27:21 UTC 2024","Sun May 19 01:41:58 UTC 2024","877277","tests.integration","test_db","","","","test_mailman3_core_db","Deploy Mailman3 Core to test the 'db' relation."
"passed","Sun May 19 01:41:58 UTC 2024","Sun May 19 01:54:25 UTC 2024","746965","tests.integration","test_db","","","","test_relation_data_is_updated_correctly_when_scaling","Test that relation data, like connection data, is updated correctly when scaling."
"passed","Sun May 19 01:27:49 UTC 2024","Sun May 19 02:00:25 UTC 2024","1956497","tests.integration","test_backups","","","","test_backup","Build and deploy two units of PostgreSQL and then test the backup and restore actions."
"passed","Sun May 19 02:05:47 UTC 2024","Sun May 19 02:08:10 UTC 2024","143219","tests.integration.new_relations","test_new_relations","","","","test_admin_role","Test that the admin role gives access to all the databases."
"passed","Sun May 19 01:27:14 UTC 2024","Sun May 19 01:43:07 UTC 2024","953364","tests.integration","test_subordinates","","","","test_deploy",""
